Description,,Type,Latitude,Longitude,LatLong
Roberta Pelan,"263 Adelaide St W #320, Toronto, ON M5H 1Y2",gallery,43.61768515,-79.33836937,"43.617685151701174,-79.33836936950684"
AC Repair Co.,"1588 Dupont St, Toronto, ON M6P 3S6",gallery,43.665269,-79.4540472,"43.665269,-79.45404719999999"
Clint Roenisch Gallery,"190 St Helens Ave, Toronto, ON M6H 4A2",gallery,43.6544637,-79.4428587,"43.6544637,-79.44285869999999"
Cooper Cole,"1134 Dupont St, Toronto, ON M6H 2A2",gallery,43.6687871,-79.4377605,"43.6687871,-79.43776049999997"
Franz Kaka,"B1-87 Wade Ave, Toronto, ON M6H 1P5",gallery,43.6601822,-79.4455269,"43.6601822,-79.4455269"
Towards,"B1-87 Wade Ave, Toronto, ON M6H 1P5",gallery,43.6601822,-79.4455269,"43.6601822,-79.4455269"
The Power Plant,"231 Queens Quay W, Toronto, ON M5J 2G8",gallery,43.638679,-79.382161,"43.638679,-79.382161"
The Loon,"227 Sterling Rd, Toronto, ON M6R",gallery,43.6567156,-79.4463461,"43.6567156,-79.44634610000003"
Katharine Mulherin,"1086 Queen St W, Toronto, ON M6J 1H8",gallery,43.643697,-79.4220537,"43.643697,-79.42205369999999"
Angell Gallery,"1444 Dupont St #15, Toronto, ON M6P 4H3",gallery,43.6666726,-79.4495149,"43.66667260000001,-79.4495149"
Erin Stump Projects,"1558 Dupont St, Toronto, ON M6P 3S6",gallery,43.6655138,-79.4531384,"43.6655138,-79.4531384"
Division Gallery,"45 Ernest Ave, Toronto, ON M6P 3M7",gallery,43.6592218,-79.450655,"43.6592218,-79.45065499999998"
Xpace Cultural Centre,"303 Lansdowne Ave #2, Toronto, ON M6K 2W5",gallery,43.6506209,-79.4396633,"43.6506209,-79.4396633"
Birch Contemporary,"129 Tecumseth St, Toronto, ON M6J 2H2",gallery,43.6453433,-79.4059344,"43.64534329999999,-79.40593439999998"
Susan Hobbs Gallery,"137 Tecumseth St, Toronto, ON M6J 2H2",gallery,43.6456675,-79.4060079,"43.64566749999999,-79.40600789999996"
Ryeson Image Centre,"33 Gould St, Toronto, ON M5B 1E9",gallery,43.6576945,-79.379383,"43.65769450000001,-79.37938299999996"
Whippersnapper Gallery,"594 Dundas St W, Toronto, ON M5T 1H5",gallery,43.6523824,-79.4010005,"43.65238239999999,-79.40100050000001"
Zalucky Contemporary,"3044 Dundas St W, Toronto, ON M6P 1Z3",gallery,43.6656643,-79.470817,"43.6656643,-79.47081700000001"
Gallery 44,"401 Richmond St W #120, Toronto, ON M5V 3A8",gallery,43.647952,-79.3944365,"43.647952,-79.39443649999998"
Prefix Gallery,"401 Richmond St W #124, Toronto, ON M5V 1R8",gallery,43.647952,-79.3944365,"43.647952,-79.39443649999998"
Gallery TPW,"170 St Helens Ave, Toronto, ON M6H 4A1",gallery,43.6539625,-79.4427428,"43.65396249999999,-79.44274280000002"
Daniel Faria Gallery,"188 St Helens Ave, Toronto, ON M6H 4A1",gallery,43.6544533,-79.4426887,"43.65445330000001,-79.44268869999996"
811,"233 Spadina Ave, Toronto, ON M5T 2E2",gallery,43.6513894,-79.3970352,"43.6513894,-79.3970352"
Scrap Metal,"11 Dublin St E, Toronto, ON M6H 1J4",gallery,43.6545131,-79.4435629,"43.6545131,-79.44356290000002"
Little Sister,"13 Mansfield Ave, Unit G, Toronto, ON M6J 2A9",gallery,43.653436,-79.4131528,"43.653436,-79.41315279999998"
Barbara Edwards Contemporary,"1069 Bathurst St, Toronto, ON M5R 3G8",gallery,43.6723334,-79.4138547,"43.67233340000001,-79.4138547"
Richard Rhodes Dupont Projects,"1444 Dupont St #31, Toronto, ON M6P 4H3",gallery,43.6667941,-79.4496644,"43.6667941,-79.44966440000002"
Bunker 2,"452 Dufferin St, Toronto, ON M6K 2A5",gallery,43.6452586,-79.4301425,"43.64525859999999,-79.43014249999999"
Nicholas Metivier Gallery,"451 King St W, Toronto, ON M5V 1K4",gallery,43.6450824,-79.3960044,"43.6450824,-79.39600439999998"
